*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=hotspot-1d-shield
*Date=15:39:42
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;13.208;-51.5102;0;Bottom;Copper Fill48
2;;;40.7162;-51.7769;0;Bottom;Copper Fill67
3;;;54.9656;-1.73888;0;Bottom;Copper Fill29
4;;;57.8866;-27.1135;0;Bottom;Copper Fill78
5;;;39.7256;-1.73888;0;Bottom;Copper Fill86
6;;;11.0617;-40.2707;0;Bottom;Copper Fill51
7;;;35.6362;-51.7769;0;Bottom;Copper Fill8
8;;;33.2105;-48.1563;0;Bottom;TXT2
9;330;THT;35.0211;-43.9584;0;Bottom;R1
10;;;14.0589;-52.2849;0;Bottom;Copper Fill46
11;;;48.3616;-36.2194;0;Bottom;Copper Fill94
12;;;66.4209;-23.7204;0;Bottom;Hole2
13;;;7.5565;-50.6593;0;Bottom;Copper Fill98
14;;;43.4721;-3.49148;0;Bottom;Copper Fill105
15;;5 mm [THT];11.7523;-40.9584;90;Bottom;LED1
16;;;28.0162;-51.7769;0;Bottom;Copper Fill5
17;;;20.3962;-51.7769;0;Bottom;Copper Fill59
18;;;22.9362;-51.7769;0;Bottom;Copper Fill3
19;;;62.5856;-1.73888;0;Bottom;Copper Fill32
20;;;29.5656;-1.73888;0;Bottom;Copper Fill21
21;;;62.5856;-1.73888;0;Bottom;Copper Fill93
22;;;11.0617;-41.7439;0;Bottom;Copper Fill50
23;;;14.0589;-50.6593;0;Bottom;Copper Fill47
24;;;39.0525;-17.1821;0;Bottom;Copper Fill37
25;;;48.3616;-36.2194;0;Bottom;Copper Fill34
26;;;7.5565;-52.2849;0;Bottom;Copper Fill97
27;;;57.4802;-51.7769;0;Bottom;Copper Fill15
28;;;26.7081;-51.7261;0;Bottom;Copper Fill54
29;;;52.4256;-1.73888;0;Bottom;Copper Fill89
30;;;52.4256;-1.73888;0;Bottom;Copper Fill28
31;;;59.8425;-42.3505;90;Bottom;IMG1
32;;;20.7616;-9.60138;0;Bottom;TXT3
33;;;21.0693;-40.2707;0;Bottom;Copper Fill44
